,Run ID,Person ID,Time of Infection (Mins),Datetime of Sim Start,Datetime of When Infected,Datetime if Sim End
72,1,72,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
73,1,73,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
74,1,74,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
75,1,75,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
76,1,76,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
77,1,77,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
78,1,78,0.03,03/06/2021 13:27:01,03/06/2021 13:27:03,03/06/2021 13:28:01
79,1,79,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
80,1,80,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
81,1,81,0.91,03/06/2021 13:27:01,03/06/2021 13:27:56,03/06/2021 13:28:01
82,1,82,1.0,03/06/2021 13:27:01,03/06/2021 13:28:01,03/06/2021 13:28:01
83,1,83,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
84,1,84,0.96,03/06/2021 13:27:01,03/06/2021 13:27:58,03/06/2021 13:28:01
85,1,85,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
86,1,86,0.97,03/06/2021 13:27:01,03/06/2021 13:27:59,03/06/2021 13:28:01
87,1,87,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
88,1,88,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
89,1,89,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
90,1,90,1.0,03/06/2021 13:27:01,03/06/2021 13:28:01,03/06/2021 13:28:01
91,1,91,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
92,1,92,0.97,03/06/2021 13:27:01,03/06/2021 13:27:59,03/06/2021 13:28:01
93,1,93,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
94,1,94,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
95,1,95,1.0,03/06/2021 13:27:01,03/06/2021 13:28:01,03/06/2021 13:28:01
96,1,96,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
97,1,97,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
98,1,98,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
99,1,99,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
0,2,0,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
1,2,1,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
2,2,2,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
3,2,3,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
4,2,4,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
5,2,5,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
6,2,6,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
7,2,7,0.69,03/06/2021 13:28:01,03/06/2021 13:28:42,03/06/2021 13:29:01
8,2,8,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
9,2,9,1.0,03/06/2021 13:28:01,03/06/2021 13:29:01,03/06/2021 13:29:01
10,2,10,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
11,2,11,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
12,2,12,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
13,2,13,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
14,2,14,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
15,2,15,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
16,2,16,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
17,2,17,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
18,2,18,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
19,2,19,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
20,2,20,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
21,2,21,0.48,03/06/2021 13:28:01,03/06/2021 13:28:30,03/06/2021 13:29:01
22,2,22,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
23,2,23,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
24,2,24,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
25,2,25,0.98,03/06/2021 13:28:01,03/06/2021 13:29:00,03/06/2021 13:29:01
